@id,공포번호,공포일자,법령ID,법령구분명,법령명한글,법령상세링크,법령약칭명,법령일련번호,소관부처명,소관부처코드,시행일자,자법타법여부,제개정구분명,현행연혁코드
128,15350,20180116,009682,법률,건강가정기본법,/DRF/lawService.do?OC=tooget&target=law&MST=201170&type=HTML&mobileYn=&efYd=20180717,,201170,여성가족부,1383000,20180717,,일부개정,현행
129,27600,20161122,009864,대통령령,건강가정기본법 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=187604&type=HTML&mobileYn=&efYd=20161130,,187604,여성가족부,1383000,20161130,,일부개정,현행
130,00091,20160607,009860,여성가족부령,건강가정기본법 시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=183833&type=HTML&mobileYn=&efYd=20160607,,183833,여성가족부,1383000,20160607,,일부개정,현행
131,14878,20170919,010708,법률,건강검진기본법,/DRF/lawService.do?OC=tooget&target=law&MST=197506&type=HTML&mobileYn=&efYd=20180320,,197506,보건복지부,1352000,20180320,,일부개정,현행
132,24454,20130323,010930,대통령령,건강검진기본법 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=136327&type=HTML&mobileYn=&efYd=20130323,,136327,보건복지부,1352000,20130323,,타법개정,현행
133,00481,20170216,010936,보건복지부령,건강검진기본법 시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=191794&type=HTML&mobileYn=&efYd=20170216,,191794,보건복지부,1352000,20170216,,일부개정,현행
134,15706,20180612,009353,법률,건강기능식품에 관한 법률,/DRF/lawService.do?OC=tooget&target=law&MST=203806&type=HTML&mobileYn=&efYd=20180612,건강기능식품법,203806,식품의약품안전처,1471000,20180612,,일부개정,현행
135,28809,20180417,009581,대통령령,건강기능식품에 관한 법률 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=203286&type=HTML&mobileYn=&efYd=20180417,건강기능식품법시행령,203286,식품의약품안전처,1471000,20180417,,일부개정,현행
136,01491,20180928,009654,총리령,건강기능식품에 관한 법률 시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=204715&type=HTML&mobileYn=&efYd=20180928,건강기능식품법시행규칙,204715,식품의약품안전처,1471000,20180928,,일부개정,현행
137,14839,20170726,000099,법률,건널목 개량촉진법,/DRF/lawService.do?OC=tooget&target=law&MST=195219&type=HTML&mobileYn=&efYd=20170726,건널목개량법,195219,국토교통부,1613000,20170726,,타법개정,현행
138,25840,20141209,002101,대통령령,건널목 개량촉진법 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=164775&type=HTML&mobileYn=&efYd=20150101,,164775,국토교통부,1613000,20150101,,타법개정,현행
139,00529,20060803,006165,건설교통부령,건널목 입체교차화 비용부담에 관한 규칙,/DRF/lawService.do?OC=tooget&target=law&MST=75164&type=HTML&mobileYn=&efYd=20060803,,75164,국토교통부,1613000,20060803,,일부개정,현행
140,13895,20160127,000120,법률,건설근로자의 고용개선 등에 관한 법률,/DRF/lawService.do?OC=tooget&target=law&MST=180477&type=HTML&mobileYn=&efYd=20160728,건설근로자법,180477,고용노동부,1492000,20160728,,일부개정,현행
141,27751,20161230,002108,대통령령,건설근로자의 고용개선 등에 관한 법률 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=190389&type=HTML&mobileYn=&efYd=20170101,건설근로자법시행령,190389,고용노동부,1492000,20170101,,타법개정,현행
142,00168,20161020,006173,고용노동부령,건설근로자의 고용개선 등에 관한 법률 시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=187235&type=HTML&mobileYn=&efYd=20161020,건설근로자법시행규칙,187235,고용노동부,1492000,20161020,,타법개정,현행
143,14847,20170809,000239,법률,건설기계관리법,/DRF/lawService.do?OC=tooget&target=law&MST=196496&type=HTML&mobileYn=&efYd=20180118,,196496,국토교통부,1613000,20180118,,일부개정,현행
144,29096,20180814,002109,대통령령,건설기계관리법 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=204240&type=HTML&mobileYn=&efYd=20180814,,204240,국토교통부,1613000,20180814,,일부개정,현행
145,00533,20180628,006174,국토교통부령,건설기계관리법 시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=203969&type=HTML&mobileYn=&efYd=20181001,,203969,국토교통부,1613000,20181001,,일부개정,현행
146,00539,20180808,010655,국토교통부령,건설기계 안전기준에 관한 규칙,/DRF/lawService.do?OC=tooget&target=law&MST=204190&type=HTML&mobileYn=&efYd=20180808,,204190,국토교통부,1613000,20180808,,일부개정,현행
147,15667,20180612,001807,법률,건설기술 진흥법,/DRF/lawService.do?OC=tooget&target=law&MST=203763&type=HTML&mobileYn=&efYd=20180612,,203763,국토교통부,1613000,20180612,,일부개정,현행
148,28555,20171229,002111,대통령령,건설기술 진흥법 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=200500&type=HTML&mobileYn=&efYd=20180630,,200500,국토교통부,1613000,20180630,,일부개정,현행
149,00547,20181012,006175,국토교통부령,건설기술 진흥법 시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=204760&type=HTML&mobileYn=&efYd=20181012,,204760,국토교통부,1613000,20181012,,일부개정,현행
150,15720,20180814,001808,법률,건설산업기본법,/DRF/lawService.do?OC=tooget&target=law&MST=204201&type=HTML&mobileYn=&efYd=20180814,,204201,국토교통부,1613000,20180814,,일부개정,현행
151,29269,20181030,002115,대통령령,건설산업기본법 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=205071&type=HTML&mobileYn=&efYd=20181101,,205071,국토교통부,1613000,20181101,,타법개정,현행
152,00351,20160804,006184,국토교통부령,건설산업기본법 시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=185317&type=HTML&mobileYn=&efYd=20180204,,185317,국토교통부,1613000,20180204,,일부개정,현행
153,14532,20170117,009592,법률,건설폐기물의 재활용촉진에 관한 법률,/DRF/lawService.do?OC=tooget&target=law&MST=191047&type=HTML&mobileYn=&efYd=20180118,건설폐기물법,191047,환경부,1480000,20180118,,타법개정,현행
154,28583,20180116,009857,대통령령,건설폐기물의 재활용촉진에 관한 법률 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=201193&type=HTML&mobileYn=&efYd=20180118,건설폐기물법시행령,201193,환경부,1480000,20180118,,타법개정,현행
155,00745,20180117,009880,환경부령,건설폐기물의 재활용촉진에 관한 법률 시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=201359&type=HTML&mobileYn=&efYd=20180118,건설폐기물법시행규칙,201359,환경부,1480000,20180118,,타법개정,현행
156,11282,20120201,001962,법률,건전가정의례의 정착 및 지원에 관한 법률,/DRF/lawService.do?OC=tooget&target=law&MST=122701&type=HTML&mobileYn=&efYd=20120201,가정의례법,122701,여성가족부,1383000,20120201,,일부개정,현행
157,23766,20120501,002116,대통령령,건전가정의례의 정착 및 지원에 관한 법률 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=125100&type=HTML&mobileYn=&efYd=20120501,가정의례법시행령,125100,여성가족부,1383000,20120501,,일부개정,현행
158,26774,20151230,002117,대통령령,건전가정의례준칙,/DRF/lawService.do?OC=tooget&target=law&MST=177881&type=HTML&mobileYn=&efYd=20151230,,177881,여성가족부,1383000,20151230,,타법개정,현행
159,14839,20170726,010594,법률,건축기본법,/DRF/lawService.do?OC=tooget&target=law&MST=195220&type=HTML&mobileYn=&efYd=20170726,,195220,국토교통부,1613000,20170726,,타법개정,현행
160,28553,20171229,010787,대통령령,건축기본법 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=200494&type=HTML&mobileYn=&efYd=20180419,,200494,국토교통부,1613000,20180419,,타법개정,현행
161,00435,20170718,006186,국토교통부령,건축물대장의 기재 및 관리 등에 관한 규칙,/DRF/lawService.do?OC=tooget&target=law&MST=194856&type=HTML&mobileYn=&efYd=20170718,,194856,국토교통부,1613000,20170718,,일부개정,현행
162,00399,20170120,011859,국토교통부령,건축물 에너지효율등급 인증 및 제로에너지건축물 인증에 관한 규칙,/DRF/lawService.do?OC=tooget&target=law&MST=191338&type=HTML&mobileYn=&efYd=20170120,,191338,"국토교통부,산업통상자원부",1450000 1613000,20170120,,일부개정,현행
163,00517,20180601,006187,국토교통부령,건축물의 구조기준 등에 관한 규칙,/DRF/lawService.do?OC=tooget&target=law&MST=203644&type=HTML&mobileYn=&efYd=20180601,,203644,국토교통부,1613000,20180601,,일부개정,현행
